RefCurrentDirection,RefCurrentSpeed,WaveDirection,WaveType,WaveHs,WaveTp,WaveGamma,WindDirection,WindSpeed,ProbabilityRatio,ObjectName,SimulationDuration
135,1,0,JONSWAP,0.25,5,Calculated,0,6,0.001,riserChain,600
135,1,0,JONSWAP,0.75,5,Calculated,0,6,0.001,riserChain,600
135,1,0,JONSWAP,1.25,5,Calculated,0,6,0.001,riserChain,600
135,1,0,JONSWAP,1.75,5,Calculated,0,6,0.001,riserChain,600
135,1,0,JONSWAP,2.25,5,Calculated,0,6,0.001,riserChain,600
135,1,0,JONSWAP,2.75,5,Calculated,0,6,0.001,riserChain,600
135,1,0,JONSWAP,3.25,5,Calculated,0,6,0.001,riserChain,600
135,1.5,0,JONSWAP,0.25,5,Calculated,0,6,0.001,riserChain,600
135,1.5,0,JONSWAP,0.75,5,Calculated,0,6,0.001,riserChain,600
135,1.5,0,JONSWAP,1.25,5,Calculated,0,6,0.001,riserChain,600
135,1.5,0,JONSWAP,1.75,5,Calculated,0,6,0.001,riserChain,600
135,1.5,0,JONSWAP,2.25,5,Calculated,0,6,0.001,riserChain,600
135,1.5,0,JONSWAP,2.75,5,Calculated,0,6,0.001,riserChain,600
135,1.5,0,JONSWAP,3.25,5,Calculated,0,6,0.001,riserChain,600
135,2,0,JONSWAP,0.25,5,Calculated,0,6,0.001,riserChain,600
135,2,0,JONSWAP,0.75,5,Calculated,0,6,0.001,riserChain,600
135,2,0,JONSWAP,1.25,5,Calculated,0,6,0.001,riserChain,600
135,2,0,JONSWAP,1.75,5,Calculated,0,6,0.001,riserChain,600
135,2,0,JONSWAP,2.25,5,Calculated,0,6,0.001,riserChain,600
135,2,0,JONSWAP,2.75,5,Calculated,0,6,0.001,riserChain,600
135,2,0,JONSWAP,3.25,5,Calculated,0,6,0.001,riserChain,600
180,0,0,JONSWAP,0.25,5,Calculated,0,6,0.001,riserChain,600
180,0,0,JONSWAP,0.75,5,Calculated,0,6,0.001,riserChain,600
180,0,0,JONSWAP,1.25,7,Calculated,0,6,0.001,riserChain,600
180,0,0,JONSWAP,1.75,9,Calculated,0,6,0.001,riserChain,600
180,0,0,JONSWAP,2.25,9,Calculated,0,6,0.001,riserChain,600
180,0,0,JONSWAP,2.75,9,Calculated,0,6,0.001,riserChain,600
180,0,0,JONSWAP,3.25,9,Calculated,0,6,0.001,riserChain,600
180,0.5,0,JONSWAP,0.25,5,Calculated,0,6,0.001,riserChain,600
180,0.5,0,JONSWAP,0.75,5,Calculated,0,6,0.001,riserChain,600
180,0.5,0,JONSWAP,1.25,5,Calculated,0,6,0.001,riserChain,600
180,0.5,0,JONSWAP,1.75,5,Calculated,0,6,0.001,riserChain,600
180,0.5,0,JONSWAP,2.25,5,Calculated,0,6,0.001,riserChain,600
180,0.5,0,JONSWAP,2.75,5,Calculated,0,6,0.001,riserChain,600
180,0.5,0,JONSWAP,3.25,5,Calculated,0,6,0.001,riserChain,600
180,1,0,JONSWAP,0.25,5,Calculated,0,6,0.001,riserChain,600
180,1,0,JONSWAP,0.75,5,Calculated,0,6,0.001,riserChain,600
180,1,0,JONSWAP,1.25,5,Calculated,0,6,0.001,riserChain,600
180,1,0,JONSWAP,1.75,5,Calculated,0,6,0.001,riserChain,600
180,1,0,JONSWAP,2.25,5,Calculated,0,6,0.001,riserChain,600
180,1,0,JONSWAP,2.75,5,Calculated,0,6,0.001,riserChain,600
180,1,0,JONSWAP,3.25,5,Calculated,0,6,0.001,riserChain,600
180,1.5,0,JONSWAP,0.25,5,Calculated,0,6,0.001,riserChain,600
180,1.5,0,JONSWAP,0.75,5,Calculated,0,6,0.001,riserChain,600
180,1.5,0,JONSWAP,1.25,5,Calculated,0,6,0.001,riserChain,600
180,1.5,0,JONSWAP,1.75,5,Calculated,0,6,0.001,riserChain,600
180,1.5,0,JONSWAP,2.25,5,Calculated,0,6,0.001,riserChain,600
180,1.5,0,JONSWAP,2.75,5,Calculated,0,6,0.001,riserChain,600
180,1.5,0,JONSWAP,3.25,5,Calculated,0,6,0.001,riserChain,600
180,2,0,JONSWAP,0.25,5,Calculated,0,6,0.001,riserChain,600
180,2,0,JONSWAP,0.75,5,Calculated,0,6,0.001,riserChain,600
180,2,0,JONSWAP,1.25,5,Calculated,0,6,0.001,riserChain,600
180,2,0,JONSWAP,1.75,5,Calculated,0,6,0.001,riserChain,600
180,2,0,JONSWAP,2.25,5,Calculated,0,6,0.001,riserChain,600
180,2,0,JONSWAP,2.75,5,Calculated,0,6,0.001,riserChain,600
180,2,0,JONSWAP,3.25,5,Calculated,0,6,0.001,riserChain,600
